GAS,Symbol,MM,Tc K,Pc Mpa,Vc m3/kmol,atomic_volume,density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argon,Ar,39.948,150.86,4.898,0.07459,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromine,Br2,159.808,584.15,10.3,0.135,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deuterium bromide,BrD,81.918,516.4,8.94,0.143,25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromine trifluoride,BrF3,136.899,584.15,7.32,0.161205,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromine pentafluoride,BrF5,174.896,512.15,5.82,0.215749,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen bromide,HBr,80.912,363.15,8.552,0.1,24.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromochlorodifluoromethane,CBrClF2,165.365,426.15,4.254,0.246,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromotrifluoromethane,CBrF3,148.91,340.15,3.97,0.2,81.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibromodifluoromethane,CBr2F2,209.816,478,4.07,0.249,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorotrifluoromethane,CClF3,104.459,302,3.87,0.180276,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichlorodifluoromethane (R-12),CCl2F2,120.913,384.95,4.125,0.217,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trichlorofluoromethane (R-11),CCl3F,137.368,471.2,4.408,0.248,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrachloromethane,CCl4,153.822,556.35,4.56,0.276,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrafluoromethane,CF4,88.005,227.51,3.745,0.143,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octafluoropropane (R-218),C3F8,188.02,345.05,2.68,0.299,165.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzene,C6H6,78.112,562.05,4.895,0.256,90.96,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air,air,28.96,132.45,3.774,0.09147,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxygen,O2,32,154.58,5.043,0.0734,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water,H2O,18,647.14,22.064,0.05595,12.7,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
