formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
He,helium-3,14762-55-1,3.017,1.01,3.33,3.31,1.14,72.5,0.3,-0.48,,,,2.5,0,0,0,0,20.79,,1.3975,5.594,273.84,0.02,1.12,2,4.41
He,helium,7440-59-7,4.003,2.15,4.3,5.19,2.27,57.3,0.301,-0.39,,,,2.5,0,0,0,0,20.79,,1.6836,8.1548,273.71,0.02,1.85,2,5.34
H2,hydrogen,1333-74-0,2.016,13.83,20.27,32.98,12.93,64.2,0.303,-0.217,50.0,1000.0,50.0-1000.0,2.883,0.003681,-7.72E-06,6.92E-09,-2.13E-12,28.84,,2.93954,66.7954,275.65,0.05,10.25,2,22.82
H2,"hydrogen, normal",800000-51-5,2.016,13.56,20.38,33.25,12.97,65,0.305,-0.216,,,,,,,,,28.83,,2.94928,67.5078,275.7,0.05,13.33,2,22.94
DH,deuterium hydride,13983-20-5,3.022,16.59,22.13,35.9,14.8,62.7,0.311,-0.176,50.0,1000.0,50.0-1000.0,3.893,-0.003508,1.08E-05,-1.34E-08,5.80E-12,29.2,,3.14102,77.1349,275.62,0.08,15.73,2,24.69
D2,deuterium,7782-39-0,4.028,18.63,22.13,38.25,16.5,60.2,0.312,,50.0,1000.0,50.0-1000.0,3.59,-0.000462,5.70E-07,3.60E-10,-2.60E-13,29.19,,3.14102,77.1349,275.62,0.02,15.2,2,18.97
D2,"deuterium, normal",800000-54-8,4.028,18.72,23.65,38.35,16.65,60.2,0.314,-0.143,,,,,,,,,29.2,,3.25315,83.5251,275.22,0.1,17.57,2,26.23
Ne,neon,1/9/7440,20.18,24.56,27.07,44.4,27.6,41.7,0.312,-0.016,,,,2.5,0,0,0,0,20.79,,3.20934,78.38,270.55,0.4,24.33,2,29.55
N2,nitrogen,7727-37-9,28.014,63.15,77.35,126.2,33.98,90.1,0.289,0.037,50.0,1000.0,50.0-1000.0,3.539,-0.000261,7.00E-08,1.57E-09,-9.90E-13,29.12,,3.61947,255.68,266.55,0.08,60.81,2,83.65
CO,carbon monoxide,630-08-0,28.01,68.15,81.66,132.85,34.94,93.1,0.292,0.045,50.0,1000.0,50.0-1000.0,3.912,-0.003913,1.18E-05,-1.30E-08,5.15E-12,29.14,,3.81912,291.743,267.996,0.2,69.73,2,88.08
F2,fluorine,7782-41-4,37.997,53.48,84.95,144.3,52.15,66.2,0.288,0.051,50.0,1000.0,50.0-1000.0,3.347,0.000467,5.26E-06,-7.94E-09,3.30E-12,31.3,,3.89078,304.35,266.54,0.02,61,2,91.39
Ar,argon,7440-37-1,39.948,83.8,87.27,150.86,48.98,74.57,0.291,-0.002,,,,2.5,0,0,0,0,20.79,,3.74141,304.227,276.32,0.6,82.59,2,94.26
O2,oxygen,7782-44-7,31.999,54.36,90.17,154.58,50.43,73.37,0.288,,50.0,1000.0,50.0-1000.0,3.63,-0.001794,6.58E-06,-6.01E-09,1.79E-12,29.38,,3.81634,319.013,266.7,0.02,64.29,2,97.2
CH4,methane,74-82-8,16.043,90.69,111.66,190.56,45.99,98.6,0.286,0.011,50.0,1000.0,50.0-1000.0,4.568,-0.008975,3.63E-05,-3.41E-08,1.09E-11,35.69,,3.7687,395.744,266.681,0.15,92.64,2,120.59
Kr,krypton,7439-90-9,83.8,115.77,119.74,209.4,55,91.2,0.288,,,,,2.5,0,0,0,0,20.79,,3.7556,416.38,264.45,0.5,111.34,2,129.23
NO,nitrogen monoxide (nitric oxide),10102-43-9,30.006,109.51,121.38,180,64.8,58,0.251,0.582,50.0,1000.0,50.0-1000.0,4.534,-0.007644,2.07E-05,-2.16E-08,8.06E-12,29.87,,5.8679,682.9386,268.27,0.15,106.94,2,127.56
F2O,oxygen difluoride,7783-41-7,53.996,49.35,128.38,215.2,49.5,97.6,0.27,,50.0,1000.0,50.0-1000.0,3.437,0.005527,5.02E-06,-1.45E-08,7.35E-12,43.31,,4.36109,545.05,269.91,0.02,93.1,2,137.4
F3N,nitrogen trifluoride,7783-54-2,71.002,66.37,144.11,234,45.3,118.75,0.256,0.124,,,,,,,,,,,3.90456,501.913,216,0.02,146.72,2,196.43
CF4,tetrafluoromethane,75-73-0,88.005,89.55,145.11,227.51,37.45,140.7,0.279,0.177,50.0,1000.0,50.0-1000.0,2.643,0.015383,8.50E-06,-2.94E-08,1.47E-11,61.05,,3.95894,510.595,257.2,0.02,106.2,2,155.54
F2N2,trans-difluorodiazene,13776-62-0,66.01,101.15,161.7,260,64,113.3,,,,,,,,,,,,,,,,,,,
O3,ozone,10028-15-6,47.998,80.65,161.8,261.05,55.7,89.4,0.229,0.224,50.0,1000.0,50.0-1000.0,4.106,-0.003809,3.13E-05,-4.30E-08,1.81E-11,39.6,,3.962,552.5,251,0.02,120,2,173.07
Xe,xenon,7440-63-3,131.29,161.25,165.01,289.74,58.4,118,0.286,,,,,2.5,0,0,0,0,20.79,,3.76779,566.282,258.66,0.6,156.43,2,177.84
F2N2,cis-difluorodiazene,13812-43-6,66.01,,167.4,272,68,113.3,,,,,,,,,,,,,,,,,,,
C2H4,ethylene,74-85-1,28.054,103.99,169.42,282.34,50.41,131.1,0.282,0.087,50.0,1000.0,50.0-1000.0,4.221,-0.008782,5.80E-05,-6.73E-08,2.51E-11,42.9,,3.91382,596.526,256.37,0.02,123.06,2,181.9
C2H6,ethane,74-84-0,30.07,90.35,184.55,305.32,48.72,145.5,0.279,0.099,50.0,1000.0,50.0-1000.0,4.178,-0.004427,5.66E-05,-6.65E-08,2.49E-11,52.47,231.5,3.95405,663.72,256.681,0.02,133.8,2,198.16
N2O,dinitrogen oxide (nitrous oxide),10024-97-2,44.013,182.33,184.67,309.6,72.55,97,0.273,,50.0,1000.0,50.0-1000.0,3.165,0.003401,9.89E-06,-1.88E-08,8.90E-12,38.64,,4.12884,654.26,247.16,0.8,180.82,2,196.91
H3P,phosphine,7803-51-2,33.998,139.37,185.42,324.5,65.4,,,,,,,,,,,,,,3.84049,645.512,256.07,0.03,137.44,2,199.46
F3NO,trifluoroamine oxide,13847-65-9,87.001,112.15,185.65,302.6,64,150.1,,,,,,,,,,,,,,,,,,,
C2H2F2,"1,1-difluoroethene",75-38-7,64.035,129.15,187.5,303.2,44.33,153.5,0.27,,200.0,1000.0,200.0-1000.0,0.749,0.026756,-1.91E-05,2.45E-09,2.04E-12,59.08,,,,,,,,
ClH,hydrogen chloride,7647-01-0,36.461,158.97,188.15,324.69,83.1,81,0.249,,50.0,1000.0,50.0-1000.0,3.827,-0.002936,8.79E-06,-1.03E-08,4.39E-12,29.17,,4.2949,745.78,258.88,0.15,159.97,2,201
C2H2,acetylene,74-86-2,26.038,192.35,188.4,308.3,61.14,112.2,0.268,0.189,50.0,1000.0,50.0-1000.0,2.41,0.010926,-2.55E-06,-7.90E-09,5.24E-12,59.03,,3.67374,528.67,228.79,1.2,191.44,2,201.11
ClD,deuterium chloride,5/7/7698,37.467,158.51,188.43,323.5,,,,,50.0,1000.0,50.0-1000.0,3.917,-0.003965,1.21E-05,-1.32E-08,5.21E-12,29.17,,4.06086,668.2,249.499,0.15,160.44,2,201.37
CHF3,trifluoromethane (R-23),75-46-7,70.014,117.96,191.11,298.97,48.36,133,0.259,0.267,50.0,1000.0,50.0-1000.0,3.45,0.00348,3.01E-05,-4.45E-08,1.83E-11,50.98,,4.2214,707.396,249.84,0.02,142.79,2,203.75
